Meters,Scale
500,8.443075524
500,8.443075524
300,4.221832295
3000,33.76197217
1000,16.88446932
500,8.443075524
500,8.443075524
500,8.443075524
5000,67.50250929
300,4.221832295
500,8.443075524
500,8.443075524
5000,67.50250929
1000,16.88446932
1000,16.88446932
300,4.221832295
200,2.110969794
500,8.443075524
200,2.110969794
5000,67.50250929
3000,33.76197217
5000,67.50250929
1000,16.88446932
1000,16.88446932
3000,33.76197217
3000,33.76197217
3000,33.76197217
1000,16.88446932
500,8.443075524
5000,67.50250929
500,8.443075524
500,8.443075524
3000,33.76197217
10000,135.0596435
1000,16.88446932
300,4.221832295
300,4.221832295
500,8.443075524
500,8.443075524
300,4.221832295
100,1.055491833
100,1.055491833
500,8.443075524
300,4.221832295
100,1.055491833
300,4.221832295
500,8.443075524
100,1.055491833
5000,67.50250929
1000,16.88446932
5000,67.50250929
3000,33.76197217
300,4.221832295
100,1.055491833
10000,135.0596435
3000,33.76197217
3000,33.76197217
500,8.443075524
100,1.055491833
100,1.055491833
100,1.055491833
100,1.055491833
300,4.221832295
100,1.055491833
100,1.055491833
100,1.055491833
100,1.055491833
100,1.055491833
100,1.055491833
300,4.221832295
100,1.055491833
100,1.055491833
100,1.055491833
500,8.443075524
300,4.221832295
100,1.055491833
100,1.055491833
300,4.221832295
300,4.221832295
100,1.055491833
300,4.221832295
50,0.5277491307
300,4.221832295
50,0.5277491307
300,4.221832295
100,1.055491833
100,1.055491833
100,1.055491833
1000,16.88446932
3000,33.76197217
3000,33.76197217
500,8.443075524
1000,16.88446932
500,8.443075524
500,8.443075524
300,4.221832295
500,8.443075524
500,8.443075524
300,4.221832295
3000,33.76197217
